ID,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBANICITY
652572577,0,18613,48,0,14,96274,No,282904,Yes,z_F,Masters,Lawyer,36,Private,11130,6,z_SUV,no,8250,1,No,5,0,14,0,Highly Urban/ Urban
410873772,0,19199,47,0,11,46281,No,0,z_No,z_F,<High School,z_Blue Collar,29,Private,19700,10,Minivan,no,0,0,No,1,0,5,0,Highly Urban/ Urban
254362485,2,20276,44,2,0,0,No,82344,Yes,z_F,z_High School,Home Maker,8,Private,5900,6,z_SUV,no,3338,3,No,0,0,11,0,Highly Urban/ Urban
69165559,0,19463,46,0,14,,No,207519,Yes,M,Bachelors,Professional,7,Commercial,25660,1,Panel Truck,no,2119,1,No,2,0,12,0,Highly Urban/ Urban
201327208,0,14228,60,0,12,37940,No,182739,Yes,z_F,z_High School,z_Blue Collar,16,Commercial,11290,1,Sports Car,no,0,0,No,0,5247,1,1,Highly Urban/ Urban
573751437,0,24090,33,1,13,79606,No,225962,Yes,z_F,Bachelors,Professional,27,Private,16830,9,z_SUV,no,0,0,No,2,0,15,0,z_Highly Rural/ Rural
483050926,0,24579,32,1,9,31275,No,118160,Yes,z_F,z_High School,Clerical,26,Private,10030,1,z_SUV,no,0,0,No,0,4486,1,1,Highly Urban/ Urban
146989842,1,20188,44,2,17,45488,No,219378,Yes,M,Bachelors,Manager,16,Private,22090,17,Minivan,no,0,0,No,0,0,12,0,Highly Urban/ Urban
742435591,0,23472,35,0,8,72193,No,0,z_No,z_F,Bachelors,Clerical,26,Private,12220,6,z_SUV,no,0,0,No,3,0,12,0,Highly Urban/ Urban
915517588,0,21676,40,2,0,,No,98777,Yes,z_F,Masters,Home Maker,15,Private,14130,6,z_SUV,no,38127,2,Yes,4,0,12,0,z_Highly Rural/ Rural
756785495,0,16572,54,0,12,33212,No,158432,Yes,M,<High School,z_Blue Collar,27,Commercial,24000,4,Panel Truck,no,0,0,No,5,4901,,1,Highly Urban/ Urban
66662029,0,18308,49,0,5,49244,No,163444,Yes,M,Bachelors,Clerical,30,Private,15880,1,Minivan,no,0,0,No,1,0,1,0,Highly Urban/ Urban
294816298,2,23226,36,2,12,130540,Yes,344195,z_No,z_F,Bachelors,z_Blue Collar,5,Commercial,27200,4,Minivan,no,0,0,No,0,0,9,0,z_Highly Rural/ Rural
686791659,0,17294,52,0,8,51278,No,230340,Yes,z_F,Bachelors,Professional,37,Private,1500,4,z_SUV,no,0,0,No,1,0,10,0,Highly Urban/ Urban
269341556,0,21456,41,0,7,92842,No,286113,z_No,M,Masters,,12,Commercial,25810,6,Panel Truck,no,1431,2,No,5,0,15,0,Highly Urban/ Urban
396972296,0,22123,39,0,10,35081,No,202839,Yes,M,Bachelors,z_Blue Collar,38,Commercial,16640,4,Van,yes,0,0,No,0,0,13,0,Highly Urban/ Urban
364483168,0,15805,56,0,0,0,No,63827,Yes,z_F,PhD,Home Maker,65,Private,13220,1,Minivan,no,0,0,No,0,0,12,0,z_Highly Rural/ Rural
866093378,0,18329,49,0,12,115044,No,311980,z_No,z_F,PhD,Doctor,18,Private,17900,1,Minivan,no,0,0,No,0,0,14,0,Highly Urban/ Urban
515421877,0,22431,38,0,11,37754,No,138823,Yes,z_F,z_High School,Clerical,47,Private,12080,1,z_SUV,no,0,0,No,2,0,9,0,z_Highly Rural/ Rural
173737852,0,20607,43,2,17,145353,No,418785,Yes,z_F,Masters,,38,Commercial,29450,6,Van,no,0,0,No,0,0,15,0,Highly Urban/ Urban
745183922,0,18079,50,0,8,167469,No,0,z_No,z_F,PhD,Doctor,22,Private,34150,4,Sports Car,no,0,0,No,3,0,1,0,Highly Urban/ Urban
298271736,0,13458,63,0,15,121398,No,343410,Yes,z_F,PhD,Doctor,10,Private,16270,1,z_SUV,no,0,0,No,0,0,11,0,Highly Urban/ Urban
70821537,0,17391,52,0,0,0,No,87925,z_No,z_F,z_High School,Student,48,Commercial,9280,1,z_SUV,no,0,0,No,1,0,6,0,z_Highly Rural/ Rural
258951025,0,23674,35,0,7,14508,No,0,Yes,M,Bachelors,Student,22,Commercial,6450,1,Pickup,no,0,0,No,0,0,7,0,Highly Urban/ Urban
807174588,0,20775,43,0,13,75338,No,270555,Yes,z_F,Bachelors,Manager,40,Private,23080,1,Sports Car,no,0,0,No,0,0,8,0,Highly Urban/ Urban
514538041,0,21464,41,0,10,32774,No,0,z_No,z_F,z_High School,Clerical,44,Private,20120,4,Minivan,no,0,0,No,0,0,1,0,z_Highly Rural/ Rural
25561360,0,21648,40,0,11,57474,No,186418,Yes,M,Bachelors,Clerical,5,Commercial,29270,4,Panel Truck,yes,0,0,No,1,0,5,0,Highly Urban/ Urban
753037176,0,25057,31,1,12,26520,No,154493,Yes,M,Bachelors,Student,62,Commercial,4600,6,Minivan,yes,0,0,No,2,0,5,0,Highly Urban/ Urban
883748009,0,19294,47,0,8,18444,No,0,Yes,z_F,z_High School,Student,35,Commercial,19450,6,z_SUV,no,2981,2,No,5,0,,0,Highly Urban/ Urban
31827166,0,16808,53,0,,107259,No,343700,Yes,M,Masters,Professional,36,Private,29230,10,Minivan,yes,0,0,No,0,0,15,0,Highly Urban/ Urban
680782638,0,22072,39,3,7,34046,No,183383,Yes,z_F,z_High School,Clerical,33,Private,4040,6,z_SUV,no,0,0,No,0,0,5,0,z_Highly Rural/ Rural
883604551,0,24247,33,3,14,32364,No,152894,Yes,M,<High School,Clerical,40,Private,12270,18,Minivan,yes,0,0,No,3,0,1,0,Highly Urban/ Urban
714473703,0,14612,59,0,5,106775,No,,z_No,M,Masters,Lawyer,10,Private,31930,1,Minivan,yes,0,0,No,0,0,,0,Highly Urban/ Urban
213057541,0,20849,42,0,,52988,No,176275,Yes,M,z_High School,z_Blue Collar,24,Commercial,23450,1,Minivan,no,0,0,No,2,0,11,0,z_Highly Rural/ Rural
885280620,0,21666,40,0,11,16989,No,0,z_No,M,<High School,z_Blue Collar,20,Commercial,12230,4,Pickup,yes,26104,1,Yes,13,6100,6,1,Highly Urban/ Urban
931739722,0,21381,41,2,7,17755,Yes,148815,z_No,z_F,<High School,Clerical,29,Private,14480,1,Minivan,yes,0,0,Yes,2,0,1,0,Highly Urban/ Urban
939401184,1,22666,37,2,13,,Yes,0,z_No,z_F,z_High School,z_Blue Collar,62,Commercial,9360,4,Sports Car,no,0,0,No,0,6195,,1,Highly Urban/ Urban
840809480,0,23191,36,3,12,56048,No,137836,Yes,M,Masters,Lawyer,15,Private,10700,6,Minivan,no,2045,2,No,2,0,16,0,Highly Urban/ Urban
800426023,0,20060,44,2,15,16352,No,134164,Yes,z_F,z_High School,Home Maker,37,Private,10520,1,z_SUV,no,7838,1,No,1,8841,1,1,Highly Urban/ Urban
14827139,0,15744,56,0,16,44760,No,164852,Yes,M,Bachelors,Manager,30,Private,21770,13,Minivan,yes,0,0,No,0,0,6,0,Highly Urban/ Urban
212687745,1,19723,45,1,14,63952,No,196368,Yes,z_F,Masters,Lawyer,50,Private,32340,6,Van,no,27877,2,Yes,0,2117,13,1,Highly Urban/ Urban
224701093,0,23848,34,3,12,22510,No,123888,Yes,M,z_High School,Clerical,26,Private,14690,4,Minivan,yes,0,0,Yes,0,1230,1,1,z_Highly Rural/ Rural
401200262,0,18894,48,0,,,No,252896,Yes,M,Bachelors,Professional,14,Commercial,28560,13,Panel Truck,yes,1554,5,No,1,0,10,0,Highly Urban/ Urban
926073051,1,20374,44,2,,24060,Yes,0,z_No,M,Bachelors,Clerical,24,Private,14220,4,Minivan,no,0,0,No,0,3532,10,1,Highly Urban/ Urban
45830738,0,24313,33,4,12,20822,No,76022,Yes,z_F,z_High School,Home Maker,46,Private,6880,13,z_SUV,no,7896,3,No,0,866,1,1,Highly Urban/ Urban
997497927,0,24447,32,3,14,54968,No,146784,Yes,z_F,z_High School,Professional,20,Private,10040,4,z_SUV,no,0,0,Yes,0,0,8,0,Highly Urban/ Urban
862203239,0,24035,34,0,8,14194,No,87034,z_No,z_F,<High School,Clerical,13,Private,2920,4,Sports Car,no,24767,3,Yes,2,7786,10,1,Highly Urban/ Urban
116102677,1,22591,38,4,12,2149,No,72889,Yes,z_F,<High School,Home Maker,35,Private,22690,10,Pickup,no,0,0,No,2,0,1,0,Highly Urban/ Urban
635101571,0,23425,35,2,12,,Yes,0,z_No,z_F,<High School,z_Blue Collar,43,Private,9730,5,z_SUV,no,0,0,No,4,5426,4,1,Highly Urban/ Urban
793404097,2,20091,44,2,14,45576,No,156623,Yes,z_F,<High School,z_Blue Collar,27,Private,1500,4,Sports Car,no,25276,1,No,8,0,,0,Highly Urban/ Urban
62434528,2,20585,43,3,11,137103,Yes,0,z_No,z_F,Masters,Manager,29,Private,19510,1,Sports Car,no,8890,3,No,0,4148,15,1,Highly Urban/ Urban
935079846,0,18511,49,0,9,,No,0,z_No,M,PhD,,31,Commercial,33710,3,Panel Truck,no,34351,2,Yes,2,0,18,0,Highly Urban/ Urban
948288985,0,19657,46,0,10,79538,No,0,z_No,z_F,Bachelors,Manager,13,Private,14050,3,Minivan,no,0,0,Yes,2,0,11,0,Highly Urban/ Urban
396323054,0,19696,45,1,11,185836,No,509115,Yes,z_F,PhD,Lawyer,28,Private,10250,1,z_SUV,no,4307,3,No,6,0,20,0,Highly Urban/ Urban
299024508,0,19360,46,0,14,,No,397661,z_No,M,Masters,,22,Commercial,33320,4,Panel Truck,yes,0,0,Yes,1,0,12,0,Highly Urban/ Urban
39392545,0,20036,45,0,11,61931,No,213530,Yes,M,Masters,,30,Commercial,10910,13,Pickup,yes,25106,2,No,0,0,,0,Highly Urban/ Urban
536604822,0,18832,48,0,9,61509,No,195438,Yes,M,Masters,,40,Commercial,23230,6,Panel Truck,yes,0,0,No,1,0,17,0,Highly Urban/ Urban
429992959,0,13409,63,0,9,74426,No,0,z_No,z_F,PhD,Doctor,11,Private,27600,1,z_SUV,no,0,0,No,0,0,18,0,Highly Urban/ Urban
160577728,0,20138,44,0,9,74722,No,231034,Yes,z_F,Bachelors,Professional,9,Private,23640,6,Minivan,no,0,0,No,0,0,1,0,Highly Urban/ Urban
108385737,1,19790,45,2,11,102393,Yes,0,z_No,M,Bachelors,Professional,25,Private,1500,1,Minivan,yes,0,0,No,2,2371,11,1,Highly Urban/ Urban
414142186,0,13775,62,0,15,40656,No,208242,Yes,z_F,z_High School,Clerical,57,Private,9170,4,Sports Car,no,42342,2,Yes,2,4178,7,1,Highly Urban/ Urban
421217157,0,18591,48,0,0,0,No,98920,Yes,z_F,z_High School,Home Maker,50,Private,8660,3,Sports Car,no,8363,2,No,3,0,,0,Highly Urban/ Urban
935010485,1,22687,37,2,12,,No,205211,Yes,z_F,Bachelors,z_Blue Collar,43,Commercial,5200,1,z_SUV,no,2718,1,No,1,4804,3,1,Highly Urban/ Urban
537840281,0,23616,35,0,,29371,No,0,z_No,z_F,<High School,Clerical,49,Private,4860,10,Sports Car,no,0,0,No,0,0,1,0,Highly Urban/ Urban
748139140,0,18853,48,0,12,31773,No,165090,Yes,M,z_High School,Clerical,14,Commercial,9640,13,Pickup,no,1212,1,No,4,1354,1,1,Highly Urban/ Urban
601118153,0,21910,39,0,11,33727,No,0,z_No,z_F,Bachelors,Clerical,27,Private,10850,1,z_SUV,no,8350,1,No,2,0,12,0,Highly Urban/ Urban
808304017,0,18413,49,0,0,0,No,159389,Yes,z_F,Masters,Professional,42,Private,6400,10,z_SUV,no,9115,1,No,6,0,14,0,Highly Urban/ Urban
803325269,0,20294,44,2,15,139330,Yes,316900,z_No,z_F,z_High School,z_Blue Collar,35,Commercial,22050,10,Sports Car,no,0,0,No,0,0,1,0,z_Highly Rural/ Rural
701235200,0,17889,50,0,13,163296,No,447616,z_No,z_F,PhD,Lawyer,42,Private,22830,1,Minivan,no,0,0,No,0,0,14,0,z_Highly Rural/ Rural
916609661,0,25479,30,1,10,17455,Yes,140978,z_No,z_F,<High School,z_Blue Collar,50,Private,12380,13,Minivan,no,0,0,No,0,0,6,0,z_Highly Rural/ Rural
469714824,0,16744,54,0,,71007,No,240833,Yes,M,Bachelors,Manager,61,Private,14000,6,Minivan,no,0,0,No,0,0,11,0,Highly Urban/ Urban
46606719,0,22530,38,0,0,0,No,0,Yes,M,z_High School,Student,41,Commercial,17470,10,Van,no,3157,2,No,5,0,6,0,z_Highly Rural/ Rural
454040458,0,16901,53,0,6,38036,No,153381,Yes,z_F,z_High School,z_Blue Collar,32,Commercial,13140,1,z_SUV,no,0,0,No,4,2425,1,1,Highly Urban/ Urban
951246359,0,16891,53,0,13,41199,No,150933,z_No,z_F,Bachelors,Manager,21,Private,15360,1,z_SUV,no,0,0,No,0,0,8,0,Highly Urban/ Urban
389315422,0,25535,29,1,10,38042,Yes,202967,z_No,M,z_High School,Professional,15,Private,15160,6,Minivan,no,0,0,No,0,0,1,0,Highly Urban/ Urban
180660768,0,14996,58,0,11,91223,No,0,z_No,M,Masters,Lawyer,23,Private,10620,6,Pickup,no,0,0,No,0,0,,0,Highly Urban/ Urban
184578161,0,16278,55,0,7,45787,No,173196,Yes,z_F,Masters,Lawyer,5,Private,19380,6,Minivan,no,0,0,No,0,0,13,0,Highly Urban/ Urban
59798468,0,16332,55,0,,84964,No,227091,Yes,M,Bachelors,z_Blue Collar,21,Commercial,5760,1,Pickup,yes,969,2,No,6,0,11,0,Highly Urban/ Urban
957817015,0,16014,56,0,8,38240,No,190675,Yes,z_F,z_High School,Clerical,28,Private,16220,4,z_SUV,no,0,0,No,0,0,,0,z_Highly Rural/ Rural
402443529,0,21904,39,2,0,0,No,69369,Yes,z_F,z_High School,Home Maker,36,Private,8750,4,Sports Car,no,0,0,No,0,0,8,0,Highly Urban/ Urban
298667574,2,20266,44,2,13,142588,No,365256,Yes,M,Masters,Manager,28,Private,21790,6,Minivan,yes,0,0,No,2,0,9,0,Highly Urban/ Urban
303462460,0,23875,34,0,11,51565,No,0,z_No,M,Masters,Lawyer,36,Private,18110,1,Van,yes,759,2,No,3,0,15,0,Highly Urban/ Urban
629946797,0,23962,34,3,0,0,No,66358,Yes,z_F,z_High School,Home Maker,25,Private,11740,9,z_SUV,no,1800,2,No,2,5711,1,1,Highly Urban/ Urban
783473090,0,23017,36,0,11,105384,No,267509,Yes,M,Masters,Professional,24,Private,13800,7,Minivan,yes,31695,3,Yes,4,0,17,0,Highly Urban/ Urban
8565171,0,21471,41,0,10,66265,No,159276,Yes,M,Masters,Lawyer,59,Private,12230,4,Minivan,yes,0,0,No,1,13105,9,1,Highly Urban/ Urban
950995873,0,19479,46,0,7,,No,,z_No,M,Masters,,17,Commercial,23350,13,Panel Truck,yes,4678,3,No,6,4061,17,1,Highly Urban/ Urban
867703916,0,19791,45,0,12,32394,No,0,z_No,z_F,z_High School,Clerical,33,Private,13770,4,z_SUV,no,0,0,No,0,0,1,0,Highly Urban/ Urban
593582812,0,21032,42,0,9,76226,No,217920,Yes,M,Bachelors,z_Blue Collar,18,Commercial,23390,13,Panel Truck,yes,0,0,No,0,0,14,0,Highly Urban/ Urban
22340563,1,22426,38,3,16,7528,No,113809,Yes,M,<High School,Clerical,26,Private,8080,1,Pickup,yes,0,0,No,0,0,8,0,z_Highly Rural/ Rural
679555193,0,24154,33,4,0,0,Yes,0,z_No,M,z_High School,Student,14,Commercial,15090,1,Minivan,yes,1631,1,No,2,7838,5,1,Highly Urban/ Urban
161607403,0,22859,37,0,0,,No,73890,Yes,z_F,Bachelors,Student,48,Commercial,12850,7,z_SUV,no,0,0,No,3,3660,6,1,Highly Urban/ Urban
700623278,1,20825,42,1,9,32797,No,160661,Yes,z_F,Masters,Lawyer,63,Private,21690,1,Minivan,no,0,0,No,2,0,14,0,Highly Urban/ Urban
755810990,0,18952,47,0,11,44705,No,217885,Yes,z_F,Bachelors,Professional,50,Private,12840,1,z_SUV,no,1533,2,No,0,5125,10,1,Highly Urban/ Urban
464090162,0,20770,43,1,0,0,No,70170,Yes,z_F,Bachelors,Home Maker,26,Private,8350,1,z_SUV,no,0,0,No,3,0,7,0,Highly Urban/ Urban
170483243,0,17324,52,0,9,68992,No,216986,z_No,z_F,Bachelors,z_Blue Collar,36,Commercial,15120,1,Minivan,no,0,0,No,3,0,10,0,z_Highly Rural/ Rural
421316364,0,20736,43,0,11,132561,No,314433,z_No,M,Masters,Professional,8,Commercial,30150,16,Panel Truck,no,12294,1,No,0,0,1,0,Highly Urban/ Urban
505563410,0,12790,64,0,15,31738,No,197010,Yes,M,<High School,z_Blue Collar,23,Commercial,14620,6,z_SUV,no,3994,2,No,0,5085,1,1,Highly Urban/ Urban
813759954,0,12075,66,1,17,96830,No,325826,Yes,M,Masters,Professional,23,Private,11180,7,z_SUV,no,0,0,No,0,0,16,0,Highly Urban/ Urban
37074844,0,14300,60,0,9,125893,No,0,z_No,M,PhD,,21,Commercial,7500,9,Pickup,yes,7278,2,No,4,0,15,0,Highly Urban/ Urban
130470336,2,23353,35,4,6,154577,Yes,397868,z_No,z_F,Bachelors,z_Blue Collar,27,Private,20450,6,z_SUV,no,4645,1,No,3,0,1,0,Highly Urban/ Urban
637739719,0,17280,52,0,7,64014,No,244863,Yes,M,<High School,z_Blue Collar,33,Commercial,7900,4,Pickup,yes,8882,3,No,1,2143,5,1,Highly Urban/ Urban
427956603,0,17421,52,0,11,79348,No,270032,Yes,z_F,z_High School,Manager,23,Private,13150,11,z_SUV,no,0,0,No,2,0,1,0,Highly Urban/ Urban
993272296,0,15913,56,2,14,192089,No,471701,Yes,M,PhD,,31,Commercial,21100,1,Van,yes,0,0,No,0,6484,,1,Highly Urban/ Urban
880941719,1,22440,38,1,7,,No,0,Yes,z_F,z_High School,Student,40,Private,7050,4,Sports Car,no,0,0,No,0,0,10,0,z_Highly Rural/ Rural
765577228,0,16200,55,0,15,108152,No,329756,Yes,z_F,Masters,Manager,18,Private,12320,1,z_SUV,no,0,0,Yes,0,0,15,0,Highly Urban/ Urban
879477038,0,18976,47,0,14,,No,276241,Yes,M,Bachelors,Manager,48,Private,21320,1,Van,yes,0,0,No,0,0,13,0,Highly Urban/ Urban
718294261,0,22919,37,0,12,123520,No,383731,Yes,M,Bachelors,z_Blue Collar,14,Commercial,17550,1,Van,no,0,0,No,0,0,,0,Highly Urban/ Urban
538875785,0,19181,47,0,13,45257,No,160051,Yes,M,Bachelors,Clerical,33,Commercial,29210,6,Panel Truck,yes,0,0,No,0,0,,0,Highly Urban/ Urban
106556153,0,26727,26,0,8,53244,No,0,z_No,M,Bachelors,Professional,28,Commercial,20920,3,Van,yes,6224,1,No,1,4028,8,1,Highly Urban/ Urban
199037688,1,14128,61,2,17,41857,No,169015,Yes,z_F,Masters,Manager,35,Private,20870,1,Sports Car,no,0,0,No,0,0,21,0,Highly Urban/ Urban
602893924,0,21480,41,1,8,126468,Yes,0,z_No,z_F,Masters,Manager,34,Commercial,32690,3,Pickup,no,0,0,No,2,2114,18,1,Highly Urban/ Urban
52095937,3,21720,40,3,9,75516,No,247673,Yes,z_F,z_High School,z_Blue Collar,53,Commercial,13050,5,Sports Car,no,0,0,Yes,0,0,6,0,z_Highly Rural/ Rural
351243985,0,17232,52,0,16,76954,No,249290,z_No,M,Bachelors,Professional,44,Private,19540,6,Minivan,yes,0,0,Yes,0,0,11,0,Highly Urban/ Urban
838970447,0,15186,58,1,8,150352,No,421665,Yes,z_F,Masters,Manager,21,Private,24240,6,Pickup,no,0,0,No,0,0,17,0,Highly Urban/ Urban
515204929,0,17187,52,0,8,88560,No,244028,Yes,M,Masters,Lawyer,14,Private,13630,1,Minivan,no,0,0,No,4,0,17,0,Highly Urban/ Urban
711833264,1,22396,38,1,12,37580,No,173495,Yes,z_F,<High School,Clerical,36,Private,5260,7,z_SUV,no,867,2,No,0,8671,1,1,Highly Urban/ Urban
818910510,0,21283,41,2,15,23344,No,147172,Yes,M,z_High School,z_Blue Collar,10,Private,7930,1,Pickup,no,0,0,No,1,6287,1,1,Highly Urban/ Urban
243016778,0,22666,37,0,16,43290,No,158771,Yes,z_F,Bachelors,z_Blue Collar,29,Private,23640,1,z_SUV,no,0,0,No,0,0,10,0,Highly Urban/ Urban
456565450,0,18589,48,0,10,48737,No,220264,Yes,M,Bachelors,Manager,24,Private,11220,9,Pickup,yes,0,0,No,1,0,1,0,Highly Urban/ Urban
693628088,0,19009,47,0,12,64259,No,202031,Yes,M,z_High School,Clerical,26,Private,25100,18,Minivan,no,9526,4,No,3,0,9,0,Highly Urban/ Urban
735552551,0,21143,41,0,12,110386,No,335488,Yes,M,Masters,,21,Commercial,16640,1,Van,yes,0,0,No,2,3524,14,1,Highly Urban/ Urban
504537312,0,18339,49,0,12,53765,No,0,z_No,z_F,Bachelors,Professional,5,Private,12360,4,z_SUV,no,0,0,No,0,0,1,0,Highly Urban/ Urban
82973186,0,21371,41,0,6,12541,No,0,z_No,M,<High School,Clerical,5,Private,7500,1,Minivan,yes,0,0,No,0,0,1,0,z_Highly Rural/ Rural
568473723,0,19263,47,0,12,104271,No,265153,Yes,M,Masters,,40,Commercial,36120,4,Panel Truck,yes,0,0,No,0,0,11,0,Highly Urban/ Urban
363126949,0,25418,30,2,,26226,No,165178,Yes,z_F,z_High School,Clerical,68,Private,23610,4,z_SUV,no,0,0,No,1,0,1,0,z_Highly Rural/ Rural
411375726,0,20184,44,1,,67278,No,220556,Yes,z_F,Masters,Lawyer,49,Private,20210,1,Minivan,no,0,0,No,0,0,16,0,z_Highly Rural/ Rural
789568994,0,19526,46,0,10,104990,No,306540,z_No,z_F,Bachelors,Professional,40,Private,16080,13,z_SUV,no,0,0,No,0,0,7,0,Highly Urban/ Urban
927823143,0,18265,49,0,6,89948,No,0,z_No,z_F,Bachelors,Professional,37,Private,18160,7,z_SUV,no,0,0,No,4,0,9,0,Highly Urban/ Urban
453867386,0,24208,33,1,12,111427,No,321483,Yes,z_F,Masters,,35,Commercial,28180,1,Van,no,0,0,No,3,0,4,0,Highly Urban/ Urban
747049542,1,23914,34,3,12,29431,No,143149,Yes,z_F,<High School,Clerical,12,Private,22560,1,Minivan,no,0,0,No,1,0,,0,Highly Urban/ Urban
1307371,0,20309,44,0,14,44790,No,205463,Yes,z_F,Masters,,5,Commercial,19800,4,Pickup,no,37163,1,No,4,0,9,0,Highly Urban/ Urban
237786417,1,20474,43,2,11,76159,Yes,0,z_No,z_F,Bachelors,Professional,52,Private,19750,4,z_SUV,no,0,0,Yes,0,1807,,1,Highly Urban/ Urban
179968769,0,13487,62,0,6,107734,No,0,z_No,z_F,PhD,Lawyer,54,Private,18470,3,z_SUV,no,0,0,No,0,0,15,0,Highly Urban/ Urban
